福建电信-组播1,#genre#
四海钓鱼,http://27.152.133.130:34567/rtp/239.61.4.183:1025
四画面,http://27.152.133.130:34567/rtp/239.61.5.213:1025
央广购物,http://27.152.133.130:34567/rtp/239.61.2.220:9308
央广购物,http://27.152.133.130:34567/rtp/239.61.4.197:1025
家庭理财,http://27.152.133.130:34567/rtp/239.61.3.67:9920
广播,http://27.152.133.130:34567/rtp/239.61.4.123:1025
广播,http://27.152.133.130:34567/rtp/239.61.4.44:1025
快乐垂钓,http://27.152.133.130:34567/rtp/239.61.3.8:9566
快乐垂钓,http://27.152.133.130:34567/rtp/239.61.4.198:1025
快乐购,http://27.152.133.130:34567/rtp/239.61.2.169:9002
文物宝库,http://27.152.133.130:34567/rtp/239.61.3.21:9646
文物宝库,http://27.152.133.130:34567/rtp/239.61.4.171:1025
新动漫,http://27.152.133.130:34567/rtp/239.61.3.18:9628
新动漫,http://27.152.133.130:34567/rtp/239.61.4.173:1025
梨园频道,http://27.152.133.130:34567/rtp/239.61.3.19:9634
梨园频道,http://27.152.133.130:34567/rtp/239.61.4.170:1025
欢笑剧场,http://27.152.133.130:34567/rtp/239.61.2.146:8864
武术世界,http://27.152.133.130:34567/rtp/239.61.3.22:9652
武术世界,http://27.152.133.130:34567/rtp/239.61.4.172:1025
法治天地,http://27.152.133.130:34567/rtp/239.61.2.75:8444
测试,http://27.152.133.130:34567/rtp/239.61.4.214:1025
游戏风云,http://27.152.133.130:34567/rtp/239.61.2.145:8858
环球旅游,http://27.152.133.130:34567/rtp/239.61.3.66:9914
生态环境,http://27.152.133.130:34567/rtp/239.61.3.68:9926
生活时尚,http://27.152.133.130:34567/rtp/239.61.2.141:8834
百姓健康,http://27.152.133.130:34567/rtp/239.61.3.62:9890
直播,http://27.152.133.130:34567/rtp/239.61.4.141:1025
聚鲨环球精选,http://27.152.133.130:34567/rtp/239.61.4.190:1025
证券服务,http://27.152.133.130:34567/rtp/239.61.3.71:9944
财富天下,http://27.152.133.130:34567/rtp/239.61.3.63:9896
都市剧场,http://27.152.133.130:34567/rtp/239.61.2.149:8882
金色学堂,http://27.152.133.130:34567/rtp/239.61.2.78:8462
金鹰卡通,http://27.152.133.130:34567/rtp/239.61.2.221:9314
金鹰卡通,http://27.152.133.130:34567/rtp/239.61.5.107:1025
金鹰纪实,http://27.152.133.130:34567/rtp/239.61.3.7:9560
金鹰纪实,http://27.152.133.130:34567/rtp/239.61.5.171:1025
频道维护,http://27.152.133.130:34567/rtp/239.61.5.50:1025
高网,http://27.152.133.130:34567/rtp/239.61.4.130:1025
BESTV,http://27.152.133.130:34567/rtp/239.61.5.15:1025
